Date,Goods,Services,Total_Spending, Goods_Change_yoy,Services_Change_yoy,Spending_Change_yoy,Personal_Income,Unemployment ,Cumulative Cases,Cumulative Deaths,New_Cases,New_Deaths
4/1/18,4336.7,9472.6,13809.3,0.051193795,0.052253893,0.051920748,17525.8,0.04,0,0,0,0
5/1/18,4377.4,9494.7,13872.1,0.067866901,0.051520018,0.056624037,17596,0.038,0,0,0,0
6/1/18,4349.2,9563.7,13912.9,0.054914136,0.05629556,0.055863336,17673.6,0.04,0,0,0,0
7/1/18,4366.2,9596.4,13962.6,0.059757282,0.0570818,0.057916989,17766.6,0.038,0,0,0,0
8/1/18,4376.9,9637.6,14014.5,0.057554304,0.058809312,0.058417038,17837.6,0.038,0,0,0,0
9/1/18,4376.5,9654.1,14030.6,0.036864176,0.055750577,0.049786011,17859.1,0.037,0,0,0,0
10/1/18,4409.5,9710.1,14119.6,0.045971013,0.057848809,0.05411055,17912,0.038,0,0,0,0
11/1/18,4450.7,9737.1,14187.8,0.042074456,0.055535079,0.051275212,17945.9,0.038,0,0,0,0
12/1/18,4306.2,9744.5,14050.7,0.000813443,0.04788584,0.03299539,18137.1,0.039,0,0,0,0
1/1/19,4364.5,9740,14104.5,0.017342253,0.043944266,0.035565084,18173.2,0.04,0,0,0,0
2/1/19,4356.6,9761.2,14117.8,0.011962556,0.043744186,0.0337258,18240.7,0.038,0,0,0,0
3/1/19,4427.3,9817.1,14244.4,0.029580707,0.041613174,0.037843352,18302.7,0.038,0,0,0,0
4/1/19,4467.6,9861.8,14329.4,0.030184241,0.041086924,0.037663024,18327.4,0.037,0,0,0,0
5/1/19,4480.3,9891.9,14372.2,0.023507105,0.041833865,0.036050778,18340.6,0.037,0,0,0,0
6/1/19,4490.3,9935.3,14425.6,0.032442748,0.038855255,0.036850693,18368.2,0.036,0,0,0,0
7/1/19,4506.1,9981.3,14487.4,0.032041592,0.040108791,0.037586123,18392.3,0.036,0,0,0,0
8/1/19,4518.9,10017.5,14536.4,0.032443053,0.039418527,0.037240001,18479.9,0.037,0,0,0,0
9/1/19,4513.2,10051.5,14564.7,0.031235005,0.041163858,0.038066797,18522.1,0.035,0,0,0,0
10/1/19,4529.3,10078.6,14607.9,0.027168613,0.037950176,0.034583133,18587.4,0.036,0,0,0,0
11/1/19,4547.9,10119.7,14667.6,0.021839261,0.039293013,0.033817787,18683,0.036,0,0,0,0
12/1/19,4545.2,10141.2,14686.4,0.05550137,0.040710144,0.045243297,18675.1,0.036,0,0,0,0
1/1/20,4565.5,10204.5,14770,0.046053385,0.047689938,0.047183523,18873.9,0.035,0,0,0,0
2/1/20,4554.6,10230.6,14785.2,0.045448285,0.04808835,0.047273655,19006.4,0.035,8,0,8,0
3/1/20,4472.8,9289.4,13762.2,0.010277144,-0.053753145,-0.0338519,18646.3,0.044,88,3,80,3
4/1/20,3887.2,8134.6,12021.8,-0.129913152,-0.175140441,-0.161039541,20971.8,0.148,215391,5325,215303,5325
5/1/20,4432.7,8625.4,13058.1,-0.010624289,-0.128034048,-0.091433462,20125.8,0.133,1109726,64902,894335,64902
6/1/20,4729.8,9159.5,13889.3,0.053337194,-0.078085211,-0.037176963,19948.5,0.111,1821199,105113,711473,105113
7/1/20,4826.6,9302.6,14129.2,0.071125807,-0.067997155,-0.024724933,20123.1,0.102,2703296,128104,882097,128104
8/1/20,4843.6,9427,14270.6,0.07185377,-0.058946843,-0.018285132,19533.9,0.084,4628497,154917,1925201,154917
9/1/20,4931.3,9550.4,14481.7,0.092639369,-0.049853256,-0.00569871,19675.3,0.078,6089506,184563,1461009,184563
10/1/20,4937.2,9608.9,14546.1,0.090058066,-0.046603695,-0.004230588,19628.8,0.069,7309153,207699,1219647,207699
11/1/20,4879.3,9588.1,14467.4,0.072868797,-0.052531202,-0.013649131,19435,0.067,9283202,230940,1974049,230940
12/1/20,4785.3,9604.2,14389.5,0.052824958,-0.052952313,-0.020215982,19562.2,0.067,13799549,270639,4516347,270639
1/1/21,5165.4,9692.5,14857.9,0.131398532,-0.050173943,0.005951253,21504.5,0.063,20172049,347970,6372500,347970
2/1/21,5015.4,9684.2,14699.6,0.101172441,-0.053408402,-0.005789573,19955.1,0.062,26363284,443249,6191235,443249
3/1/21,5554.3,9904.6,15458.9,0.241794849,0.066226021,0.123286974,24142.4,0.06,28680857,514404,2317573,514404
